dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
Homo_sapiens,NodeSketch,2,10,0.3,0.52,0.28,0.1598,0.1082
Homo_sapiens,NodeSketch,3,10,0.3,0.23,0.119,0.0633,0.039
Homo_sapiens,NodeSketch,4,10,0.3,0.08,0.02,0.0069,0.0074
baralb_10000_16,NodeSketch,2,10,0.3,0.2,0.115,0.079,0.0402
baralb_10000_16,NodeSketch,3,10,0.3,0.08,0.043,0.0176,0.0073
baralb_10000_16,NodeSketch,4,10,0.3,0.0,0.004,0.0033,0.0038
baralb_10000_2,NodeSketch,2,10,0.3,0.59,0.362,0.2266,0.185
baralb_10000_2,NodeSketch,3,10,0.3,0.32,0.29,0.112,0.0661
baralb_10000_2,NodeSketch,4,10,0.3,0.04,0.029,0.0186,0.0165
baralb_10000_8,NodeSketch,2,10,0.3,0.24,0.214,0.1284,0.0709
baralb_10000_8,NodeSketch,3,10,0.3,0.29,0.079,0.0202,0.0075
baralb_10000_8,NodeSketch,4,10,0.3,0.0,0.001,0.0024,0.002
baralb_1000_16,NodeSketch,2,10,0.3,0.12,0.079,0.0939,0.0939
baralb_1000_16,NodeSketch,3,10,0.3,0.1,0.107,0.0656,0.0595
baralb_1000_16,NodeSketch,4,10,0.3,0.06,0.028,0.0359,0.0376
baralb_1000_2,NodeSketch,2,10,0.3,0.52,0.269,0.0432,0.2163
baralb_1000_2,NodeSketch,3,10,0.3,0.32,0.152,0.0246,0.1232
baralb_1000_2,NodeSketch,4,10,0.3,0.56,0.289,0.043,0.2153
baralb_1000_8,NodeSketch,2,10,0.3,0.19,0.14,0.0709,0.0892
baralb_1000_8,NodeSketch,3,10,0.3,0.12,0.063,0.0406,0.0511
baralb_1000_8,NodeSketch,4,10,0.3,0.08,0.07,0.0313,0.0394
baralb_2500_16,NodeSketch,2,10,0.3,0.17,0.118,0.078,0.0701
